url,prodi,kata_kunci,judul,abstrak
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/16,TI,"flutter, mobile, geolocation, manajemen aset",rancang bangun aplikasi manajemen aset bergerak dengan geolocation dan haversine berbasis mobile,"perusahaan pt. sucofindo advisory utama dalam satu bulan mengeluarkan aset sebanyak tujuh unit mobil dan lima unit ponsel untuk melakukan operasional perusahaan yang berupa survei. namun aset bergerak tersebut memiliki kendala yaitu pada penyalahgunaan pada peminjaman aset yang mengkibatkan perusahaan mengalami kekurangan jumlah aset akibat keterlambatan pengembalian. dalam periode bulan mei hingga desember 2020 didapatkan presentase angka penyalahgunaan aset sebesar 24%. permasalahan ini disebabkan karena perusahaan tidak dapat melakukan pelacakan aset bergerak. dampak kerugian yang timbul dari penyalahgunaan aset tersebut adalah tidak mencukupinya ketersediaan aset bergerak yang akan digunakan untuk operasional perusahaan sehingga perusahaan diharuskan menyewa. rancang bangun sistem akan dibangun pada dua platform yakni berbasis mobile menggunakan framework flutter dan web menggunakan framework laravel. aplikasi mobile digunakan sebagai alat pelacak oleh peminjam aset akan aktif secara kontinu untuk pengiriman lokasi dengan geolocation. formula haversine digunakan untuk mendeteksi aset sesuai dengan lokasi tempat penugasan, apabila tidak digunakan pada lokasi tempat penugasan maka status peminjaman aset akan diubah menjadi penyalahgunaan aset sedangkan aplikasi web digunakan sebagai pemantauan aset, manajemen data penugasan, manajemen data aset, dan manajemen data lokasi. sistem ini dapat menentukan status penyalahgunaan aset dan sistem dapat digunakan untuk mengelola aset bergerak dari yang sebelumnya menggunakan excel serta dapat memberikan informasi laporan peminjaman aset bergerak perusahaan."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/22,TI,"development, sdlc, distribusi, aplikasi, rfid reader.",rancang bangun sistem distribusi gas lpg 3 kg menggunakan radio frequency identification (rfid) pada e-ktp berbasis web,"pengelolaan distribusi gas lpg 3 kg pada masyarakat miskin tidak merata. beberapa faktor penyebabnya yaitu harga gas lpg 3 kg yang murah sehingga distribusi melebihi jatah yang disarankan. hal tersebut mengakibatkan harga dan jumlah distribusi tidak seimbang terhadap distribusi perwilayah. tujuan penelitian ini adalah merancang bangun sistem distribusi gas lpg 3 kg menggunakan radio frequency identification (rfid) pada e-ktp berbasis web untuk memudahkan dalam melakukan transaksi gas lpg 3 kg dan mencegah terjadinya penimbunan gas lpg 3 kg. menggunakan metode penelitian studi kuantitatif yaitu studi experimental yang bertujuan untuk mengumpulkan informasi seputar permasalahan, penelitian ini juga menggunakan metode system developer life cycle (sdlc) model waterfall, yaitu metode yang menggunakan teknik analisis, desain, pengodean, pengujian, dan pendukung. hasil penelitian ini adalah suatu aplikasi untuk memanajemen penjualan gas lpg 3 kg bersubsidi agar tidak terjadinya penimbunan di suatu pangkalan yang menyebabkan ketidak seimbangan terhadap distribusi."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/34,TI,"olimpiade sains nasional, sistem pendukung keputusan, weighted agregated sum product assessment, weighted product",analisis perbandingan sistem pendukung keputusan menggunakan metode waspas dan wp dalam seleksi peserta olimpiade sains di smpn 174 jakarta,"olimpiade sains nasional (osn) merupakan ajang kompetisi di bidang sains tahunan yang dilaksanakan oleh pemerintah dalam bidang pendidikan bagi para siswa dalam berbagai jenjang seperti sekolah menengah pertama. smpn 174 jakarta merupakan salah satu sekolah yang ikut serta bahkan pernah menjuarai olimpiade sains. untuk dapat mengikuti olimpiade, setiap sekolah hanya dapat mengirimkan perwakilan, sehingga dibutuhkan penyeleksian terhadap siswa. pada seleksi manual, ditemukan banyak kendala yang dihadapi karena banyaknya calon peserta dan juga adanya pemilihan yang bersifat subjektif. oleh karena itu, dibutuhkan sistem pendukung keputusan untuk mengatasi permasalahan tersebut. dalam membuat sistem ini, digunakan dua metode yaitu weighted agregated sum product assessment (waspas) dan weighted product (wp). kedua metode ini dibandingkan untuk mendapatkan metode yang lebih cocok untuk diterapkan di kasus seleksi peserta osn. kriteria yang digunakan yaitu nilai ipa, nilai m3atematika, nilai rata-rata rapor, presensi, dan nilai uji test olimpiade. sistem melakukan penilaian dan hasil perankingan di setiap metode. perbandingan kedua metode ini menghasilkan bahwa metode waspas memiliki jarak perbandingan nilai yang lebih jauh di setiap rankingnya dibandingkan metode wp, sehingga diperoleh metode yang lebih cocok yaitu metode waspas."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/35,TI,"sistem pendukung keptutusan, spk, pemilihan sepatu, metode moora, multi objective optimization on the basis of ratio analysis",rancang bangun sistem pendukung keputusan pemilihan sepatu dengan menggunakan metode moora (studi kasus: choicefashion),"sepatu yang menjadi kebutuhan manusia sebagai alas kaki telah berkembang kegunaannya searah berkembangnya zaman, salah satunya menjadi tren fashion yang membuat jenis sepatu semakin bertambah. bisnis dalam bidang penjualan sepatu salah satunya ditekuni oleh online shop choicefashion sejak tahun 2018. terdapat sekitar 250 produk sepatu dengan berbagai merk dan jenis sepatu ditawarkan online shop choicefashion, menyebabkan customer sulit menentukan sepatu berdasarkan kriteria yang mereka inginkan untuk memberikan rekomendasi sepatu sesuai dengan kriteria dari customer maka dibutuhkan sistem pendukung keputusan.penelitian ini membahas tentang sistem pendukung keputusan pemilihan sepatu dengan metode moora. moora dapat mendukung keputusan dari banyak kriteria dan mudah dipahami dalam memisahkan subjektif suatu proses evaluasi ke dalam kriteria bobot keputusan dengan atribut pengambilan keputusan. kriteria sepatu ditentukan oleh customer melalui kuesioner. melalui penelitian ini, customer dapat menentukan sepatu sesuai dengan kriteria yang diinginkan. sistem yang dibuat berbasis website yang nanti akan menampilkan hasil rekomendasi pemilihan sepatu."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/38,TI,"algoritma simple additive weighting, seleksi guru privat, sistem pendukung keputusan, website",sistem pendukung keputusan seleksi guru privat bebasis web menggunakan algoritma simple additive weighting,"seleksi guru privat pada lembaga bimbingan belajar alqur'an neuro nadi menjadi permasalah yang sulit, karena proses seleksi guru privat dan pendataan guru privat masih menggunakan cara manual. penelitian ini dilakukan untuk perancangan dan pembangunan aplikasi sistem pendukung keputusan seleksi guru privat berbasis web dengan algoritma simple additive weighting untuk admin dalam mengelola kriteria, mengelola jadwal guru, melakukan seleksi guru privat dengan algoritma simple additive weighting, dan melakukan pendataan guru privat. membantu orang tua peserta didik melakukan seleksi guru privat yang sesuai dengan kriteria yang diinginkan, melakukan pendaftaran dan penjadwalaan. melakukan pendataan guru privat secara online. kriteria yang ditetapkan pada aplikasi ini berjumlah tujuh yaitu: kesesuaian lokasi guru privat, harga untuk guru privat dalam sejam pertemuan, pengalaman mengajar dari guru privat, menguasai serta mahir dalam metode yang digunakan, sabar, rentang usia, dan jenis kelamin yang akan dimasukaan dalam kriteria utama, kriteria pilihan, dan kriteria tambahan. dari hasil seleksi guru privat maka akan diurutkan berdasarkan total perhitungan nilai tertinggi. sistem akan memberikan rangking kepada guru privat berdasarkan nilai yang didapat dan diurutkan berdasarkan total perhitungan nilai tertinggi. seleksi guru privat pada lembaga bimbingan belajar alqur'an neuro nadi menjadi permasalah yang sulit, karena proses seleksi guru privat dan pendataan guru privat masih menggunakan cara manual. penelitian ini dilakukan untuk perancangan dan pembangunan aplikasi sistem pendukung keputusan seleksi guru privat berbasis web dengan algoritma simple additive weighting untuk admin dalam mengelola kriteria, mengelola jadwal guru, melakukan seleksi guru privat dengan algoritma simple additive weighting, dan melakukan pendataan guru privat. membantu orang tua peserta didik melakukan seleksi guru privat yang sesuai dengan kriteria yang diinginkan, melakukan pendaftaran dan penjadwalaan. melakukan pendataan guru privat secara online. kriteria yang ditetapkan pada aplikasi ini berjumlah tujuh yaitu: kesesuaian lokasi guru privat, harga untuk guru privat dalam sejam pertemuan, pengalaman mengajar dari guru privat, menguasai serta mahir dalam metode yang digunakan, sabar, rentang usia, dan jenis kelamin yang akan dimasukaan dalam kriteria utama, kriteria pilihan, dan kriteria tambahan. dari hasil seleksi guru privat maka akan diurutkan berdasarkan total perhitungan nilai tertinggi. sistem akan memberikan rangking kepada guru privat berdasarkan nilai yang didapat dan diurutkan berdasarkan total perhitungan nilai tertinggi."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/40,TI,"pet shop, e-commerce, web framework, laravel, waterfall, web sematik.",rancang bangun aplikasi website pet shop berbasis web semantik,"pet shop menurut para ahli adalah suatu tempat penjualan binatang dan segala keperluannya. menurut survey di salah satu kota di indonesia menjelaskan bahwa bisnis pet shop adalah bisnis yang sangat menjanjikan untuk masa kini dan juga bisnis pet shop adalah salah satu bisnis yang mengalami peningkatan dimasa pendemi ini. keuntungan yang di peroleh bisa mencapai 3 kali lipat dari penghasilan biasanya. petluvies pet shop merupakan usaha yang baru berdiri ini merupakan usaha yang bergerak dibidang hobi pecinta hewan khususnya kucing dan anjing. dalam bisnisnya pet shop menjual berbagai kebutuhan hewan peliharaan mulai dari makanan kucing, perawatan, dan juga perlengkapan aksesoris hewan termasuk obat-obatan dan juga pelayanan kesehataan metode dalam penelitian ini adalah web semantik. metode ini membantu pembeli mencari keperluan yang diinginkan dengan mudah. perancangan sistem menggunakan unified modelling language, bahasa pemrograman php dan database mysql. penelitian ini menghasilkan aplikasi pet shop website yang dapat memudahkan penjual dan pembeli untuk bertemu di dalam satu platform."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/46,TI,"react native, node js, rancang bangun, hidroponik, keeponic, aplikasi mobile, android, ios",rancang bangun sistem informasi keeponic (marketplace peralatan hidroponik) berbasis mobile,"pertanian hidroponik merupakan salah satu teknik dalam budidaya pertanian dengan memanfaatkan air sebagai media tanam dengan menekankan kebutuhan hara nutrisi bagi tanaman. pertanian hidroponik semakin diminati oleh masyarakat biasa maupun petani di indonesia karena pemeliharaan yang mudah dan dapat diterapkan pada lahan yang sempit. berdasarkan data yang dirilis oleh asosiasi penyelenggara jasa internet indonesia (apjii) tahun 2018 mengemukakan bahwa, 33,5% petani lahan sendiri memiliki kemampuan dalam menggunakan internet. terbatasnya segmentasi pasar dari hidroponik membuat para pelaku usaha hidroponik sulit untuk memulai atau mengembangkan usahanya. marketplace yang ada di indonesia belum mengakomodasi pelaku usaha dalam memasarkan produk hidroponik secara khusus. dalam penelitian ini difokuskan pada pembangunan sistem informasi keeponic berbasis mobile untuk para pelaku budi daya hidroponik dalam membudidayakan hidroponik, melihat artikel, membeli produk, dan mendaftar sebagai penjual jika memungkinakan. sistem informasi penjualan produk hidroponik berbasis mobile ini dibangun menggunakan framework react native dan node js. untuk membuktikan sistem dapat diterima pengguna akhir, maka dilakukan penilaian kebergunaan sistem dengan pengujian beta yang menggunakan metode pengujian uat. didapat bahwa sistem mendapat kategori 'sangat baik' setelah skor rata-rata uat dikonversikan dengan kriteria presentase skor, dengan ini sistem informasi marketplace keeponic berbasis mobile dapat berhasil memenuhi standar kebergunaan oleh pengguna."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/47,TI,"hidroponik, sistem informasi, framework react js, node js",rancang bangun sistem informasi seller dan admin untuk aplikasi keeponic (marketplace peralatan hidroponik) berbasis web,"pertanian hidroponik merupakan salah satu teknik urban farming dengan memanfaatkan air sebagai media tanam dengan menekankan kebutuhan hara nutrisi tanaman. pertanian hidroponik semakin diminati oleh masyarakat biasa maupun petani di indonesia karena pemeliharaan yang mudah dan dapat diterapkan pada lahan yang sempit. berdasarkan data yang dirilis oleh asosiasi penyelenggara jasa internet indonesia (apjii) pada hasil penetrasi pengguna internet 2019-2020 (q2) mengemukakan bahwa, total pengguna internet indonesia saat ini mencapai 196,71 dari 266,91 juta jiwa. berdasarkan hasil survei markplus dalam government roundtable terkait sektor pertanian, 98.2% masyarakat setuju urban farming memiliki prospek dalam meningkatkan pendapatan ekonomi sehingga dapat dijadikan peluang baru bagi masyarakat yang ingin berbisnis. dalam penelitian ini difokuskan pada pembangunan sistem informasi marketplace berbasis web untuk pelaku usaha hidroponik dalam menjual produk, menerima pesanan, melihat statistik penjualan, dan membuat artikel terkait hidroponik yang terintegrasi dengan aplikasi mobile bernama ‘keeponic’. sistem informasi penjualan produk hidroponik ini dibangun menggunakan framework react js dan node js. untuk membuktikan sistem dapat diterima pengguna akhir, maka dilakukan penilaian kebergunaan sistem dengan system usability scale (sus). didapat bahwa sistem mendapat kategori ‘good’ setelah skor rata-rata sus dikonversikan dengan adjective rating scale, berarti sistem informasi marketplace keeponic seller berbasis website berhasil memenuhi standar kebergunaan oleh pengguna."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/48,TI,"klien, advokat, algoritma knuth-morris-pratt (kmp), vuejs, nodejs",rancang bangun sistem informasi firma hukum gugum ridho and partners modul klien dan advokat berbasis web,"konsultasi hukum merupakan cara agar masyarakat tahu ketika menghadapi suatu permasalahan hukum. pada pasal 1 undang-undang nomor 16 tahun 2011 tentang bantuan hukum, bantuan hukum merupakan sebuah jasa hukum yang diberikan oleh pemberi bantuan hukum secara cuma-cuma kepada penerima bantuan hukum yang menghadapi masalah hukum. konsultasi hukum biasanya disediakan oleh lembagalembaga bantuan hukum atau organisasi kemasyarakatan. firma hukum gugum ridho and partners adalah salah satu lembaga bantuan hukum yang berlokasi di jakarta selatan. saat ini, proses bisnis di firma hukum gugum ridho and partners masih dilakukan secara manual yaitu proses pendaftaran klien, penjadwalan konsultasi, informasi penjadwalan konsultasi dan pencarian advokat. maka dari itu, dibuatlah sistem informasi firma hukum gugum ridho and partners modul klien dan advokat. sistem ini dibuat untuk membantu klien melakukan pendaftaran konsultasi, penjadwalan konsultasi, informasi penjadwalan dan pencarian advokat. selain itu, sistem ini dibuat untuk membantu advokat mengelola jadwal personal dan mencatat history kasus yang sudah pernah ditangani. sistem dibangun berbasis web menggunakan framework vue js untuk frontend dan nodejs untuk backend serta basis data mysql. fitur pencarian advokat dilakukan dengan metode string matching menggunakan algoritma knuth-morris-pratt (kmp). metode pengembangan sistem yang digunakan adalah metode prototyping."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/49,TI,"covid-19, masker, deep learning, convolutional neural network, object detection",perancangan & implementasi sistem pendeteksi masker menggunakan convolutional neural network,"dimasa pandemi virus covid-19 saat ini paparan virus cepat sekali menyebar, sehingga pemerintah memberlakukan peraturan untuk menjalankan protokol kesehatan dengan selalu menggunakan masker, mencuci tangan, dan menjaga jarak ketika keluar rumah. ini merupakan salah satu kebiasaan baru (new normal) yang akan dibiasakan oleh pemerintah ke masyarakat. namun tidak sedikit orang yang masih enggan untuk menjalankan protokol kesehatan masih banyak orang yang tidak memakai masker pada saat keluar rumah. sehingga adanya pemeriksaan protokol kesehatan oleh petugas pada setiap tempat dan kantor khususnya pada lingkungan pendidikan, namun menggunakan petugas dengan berhadapan langsung dengan banyak orang ditempat umum untuk pemeriksaan protokol kesehatan mengakibatkan penumpukan antrian dan banyaknya petugas terpapar virus covid-19. maka dari itu dibuatalah sistem pendeteksi masker dalam menunjang kebiasan baru (new normal) dimasa pandemi covid-19 ini bisa membuat lebih efektif dan efisien. karena sistem ini bisa tetap menjalankan protokol kesehatan dengan mendeteksi penggguna memakai masker atau tidak memakai masker tanpa harus melibatkan banyak petugas ditempat umum, sehingga bisa menghindari dari paparan virus covid-19 dan tumpukan antrian. sistem ini dibuat dengan bahasa pemrograman python, menggunakan tool jupyter, yang terdapat pustaka numpy untuk perhitungan, pustaka keras untuk melatih data dalam mengklasifikasikan objek, pustaka open cv untuk mendeteksi dengan kamera dalam waktu yang sbenarnya, dan pustaka tensorflow untuk pengklasifikasian data. alat pendukung untuk sistem ini adalah seperangkat komputer dan modul kamera untuk mendeteksi wajah dalam waktu yang sebenarnya dan mengklasifikasikan seseorang memakai masker atau tidak memakai masker. metode penelitian yang dilakukan adalah dengan menggunakan metode convolutional neural network (cnn). hasil dari penelitian ini adalah sistem dapat mendeteksi wajah dan bisa mengklasifikasikan seseorang yang menggunakan masker dan tidak menggunakan masker dengan presentasi akurasi yang dihasilkan lebih dari 90%"
