accuracy,precision,recall,f1,loss,epoch,stage
0.4105960264900662,0.35184986022965853,0.4105960264900662,0.3502469229315934,1.3264738855690792,1,train
0.62,0.5760000000000001,0.62,0.52853228962818,0.9824046194553375,1,valid
0.6931567328918322,0.6737471934491803,0.6931567328918322,0.6632323179144436,0.7186804036128109,2,train
0.82,0.8481818181818181,0.82,0.7741504033307313,0.363223135471344,2,valid
0.8896247240618101,0.890234284677756,0.8896247240618101,0.8897434280215738,0.32726927538370265,3,train
0.88,0.9011764705882354,0.88,0.869615975422427,0.18180631566792727,3,valid
0.9116997792494481,0.9116453218379496,0.9116997792494481,0.9115392799912742,0.2621900202256852,4,train
0.86,0.8696774193548387,0.86,0.8554054758800522,0.22909186594188213,4,valid
0.9713024282560706,0.971341060813701,0.9713024282560706,0.9713132980308552,0.11248679985773974,5,train
0.94,0.9436015325670497,0.94,0.9395387935078339,0.21809471817687154,5,valid
0.9801324503311258,0.9802204929107653,0.9801324503311258,0.9800366132360726,0.06561893902333646,6,train
0.96,0.9622222222222223,0.96,0.959921568627451,0.2312379451468587,6,valid
0.9126984126984127,0.9135370603112539,0.9126984126984127,0.9104933905303624,0.33624621178023517,0,test
