accuracy,precision,recall,f1,loss,epoch,stage
0.4083885209713024,0.3316795541620331,0.4083885209713024,0.3225527669250254,1.2833276781542549,1,train
0.44,0.39274961597542235,0.44,0.41401129943502823,1.14505136013031,1,valid
0.5121412803532008,0.43484282469387037,0.5121412803532008,0.4506477611577396,1.143755653808857,2,train
0.56,0.32,0.56,0.4072727272727273,0.914551392197609,2,valid
0.5540838852097131,0.6126503964870236,0.5540838852097131,0.47737523741790344,1.0654292353268326,3,train
0.64,0.6182945736434108,0.64,0.5528996199418735,0.9010828882455826,3,valid
0.6291390728476821,0.6837884683326102,0.6291390728476821,0.5875266889678712,0.990082938095619,4,train
0.64,0.6316363636363637,0.64,0.5540170940170941,0.8083554208278656,4,valid
0.6600441501103753,0.7117507790201998,0.6600441501103753,0.6243213866437164,0.9168711633517824,5,train
0.78,0.8186666666666668,0.78,0.7529411764705882,0.7645204961299896,5,valid
0.7218543046357616,0.7640030787430496,0.7218543046357616,0.6992885537725706,0.8353079680738777,6,train
0.74,0.7953153153153154,0.74,0.693727501256913,0.68197201192379,6,valid
0.7615894039735099,0.7911525167153168,0.7615894039735099,0.7507766570287674,0.7575218903607336,7,train
0.82,0.8213333333333334,0.82,0.8141613356217818,0.6628555804491043,7,valid
0.8101545253863135,0.8255860980867421,0.8101545253863135,0.8037413053027699,0.7045925835083271,8,train
0.88,0.8922943722943723,0.88,0.8687650273224042,0.5803329646587372,8,valid
0.8233995584988962,0.8340698882324986,0.8233995584988962,0.8202263362817453,0.649513311427215,9,train
0.88,0.9011764705882354,0.88,0.8719602977667493,0.5152201354503632,9,valid
0.8454746136865342,0.8531761634605421,0.8454746136865342,0.8427836409543449,0.5992920799502011,10,train
0.88,0.9011764705882354,0.88,0.8719602977667493,0.45906887575984,10,valid
0.8520971302428256,0.8549968980413046,0.8520971302428256,0.8477673158640265,0.5592991442515932,11,train
0.9,0.9151515151515152,0.9,0.8943181408755179,0.4322811849415302,11,valid
0.8432671081677704,0.8549406462364195,0.8432671081677704,0.8407548372095563,0.5318338079699154,12,train
0.9,0.9151515151515152,0.9,0.8943181408755179,0.41709935665130615,12,valid
0.9006622516556292,0.9060274880599344,0.9006622516556292,0.9003387276365384,0.5117842729749351,13,train
0.9,0.9151515151515152,0.9,0.8943181408755179,0.3791782632470131,13,valid
0.9072847682119205,0.9119863090061766,0.9072847682119205,0.9058006224164108,0.44491000319349355,14,train
0.9,0.904,0.9,0.8985221674876847,0.37134429812431335,14,valid
0.9183222958057395,0.9204457721546676,0.9183222958057395,0.9178765876676044,0.41421127524869195,15,train
0.92,0.925823754789272,0.92,0.9194338788146839,0.3737560920417309,15,valid
0.9050772626931567,0.9104395028293615,0.9050772626931567,0.9046416532369975,0.3958046282159871,16,train
0.92,0.925823754789272,0.92,0.9194338788146839,0.3573712781071663,16,valid
0.9072847682119205,0.9091434080006389,0.9072847682119205,0.9065220939979111,0.383082990502489,17,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.34497150406241417,17,valid
0.9403973509933775,0.9416167081452055,0.9403973509933775,0.9399649989621409,0.3521927060752079,18,train
0.9,0.9133793103448277,0.9,0.8980476833108412,0.33170729503035545,18,valid
0.9271523178807947,0.9293828264174451,0.9271523178807947,0.9268398362386383,0.33910602742228013,19,train
0.9,0.9133793103448277,0.9,0.8980476833108412,0.33828502148389816,19,valid
0.9293598233995585,0.9312956904272273,0.9293598233995585,0.9287875587257847,0.3273759525397728,20,train
0.9,0.9133793103448277,0.9,0.8980476833108412,0.3231453262269497,20,valid
0.9426048565121413,0.945497566746866,0.9426048565121413,0.9422855518335955,0.31094523133902713,21,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.2888476327061653,21,valid
0.9381898454746137,0.9396926246873147,0.9381898454746137,0.937813110913952,0.2856596163634596,22,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.2851037457585335,22,valid
0.9470198675496688,0.9479068202893637,0.9470198675496688,0.9468566389654818,0.27268852653174563,23,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.272888220846653,23,valid
0.9624724061810155,0.9642489723466466,0.9624724061810155,0.962352825938724,0.2624064529764241,24,train
0.9,0.9133793103448277,0.9,0.8980476833108412,0.2968057654798031,24,valid
0.9558498896247241,0.9564786960610543,0.9558498896247241,0.9557111552563367,0.24790010626973777,25,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.24884045496582985,25,valid
0.9536423841059603,0.9549559861553976,0.9536423841059603,0.9530790772273373,0.24064015956788226,26,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.24421854317188263,26,valid
0.9624724061810155,0.9628565987338366,0.9624724061810155,0.9623505393573457,0.22301236360237517,27,train
0.96,0.9626666666666667,0.96,0.9593563218390806,0.2355847153812647,27,valid
0.9735099337748344,0.9740168258836361,0.9735099337748344,0.9734086893175873,0.20942135925950675,28,train
0.96,0.9626666666666667,0.96,0.9593563218390806,0.2246718965470791,28,valid
0.9668874172185431,0.9673086194209738,0.9668874172185431,0.9669202757757049,0.2029800132430833,29,train
0.94,0.9413793103448276,0.94,0.9398596491228071,0.2235383577644825,29,valid
0.9757174392935982,0.9764511072575427,0.9757174392935982,0.9756056232213339,0.18590772691471824,30,train
0.92,0.925823754789272,0.92,0.9194338788146839,0.2406187690794468,30,valid
0.9690949227373068,0.9695828320254855,0.9690949227373068,0.9690946667687551,0.19291367767186002,31,train
0.92,0.925823754789272,0.92,0.9194338788146839,0.2494380921125412,31,valid
0.9206349206349206,0.9222355865818336,0.9206349206349206,0.9211034972202596,0.31536437198519707,0,test
