accuracy,precision,recall,f1,loss,epoch,stage
0.4326710816777042,0.38088155786227446,0.4326710816777042,0.3478468003368181,1.2787777514293277,1,train
0.6,0.5588148148148148,0.6,0.5707509881422925,1.1969727575778961,1,valid
0.5849889624724062,0.6471748039133881,0.5849889624724062,0.542303156818117,1.0320649167587017,2,train
0.64,0.5751111111111111,0.64,0.5477708592777086,0.8995381891727448,2,valid
0.6799116997792495,0.7427360892202026,0.6799116997792495,0.6432905408082252,0.8638889810134625,3,train
0.76,0.7713153153153154,0.76,0.7337622377622377,0.8814479410648346,3,valid
0.8344370860927153,0.8658310010603848,0.8344370860927153,0.827272940022416,0.7158996380608658,4,train
0.76,0.7713153153153154,0.76,0.7337622377622377,0.771257296204567,4,valid
0.8609271523178808,0.8846178301628127,0.8609271523178808,0.8573299700180058,0.626687942907728,5,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.7587674856185913,5,valid
0.8852097130242825,0.9010435563423892,0.8852097130242825,0.8815874510536114,0.5316252636498419,6,train
0.8,0.8160000000000001,0.8,0.7888111888111888,0.6593685150146484,6,valid
0.9205298013245033,0.9272475391739037,0.9205298013245033,0.9193278915838244,0.45294206204085513,7,train
0.84,0.8367619047619048,0.84,0.8367356321839081,0.6931165009737015,7,valid
0.9381898454746137,0.943667649954377,0.9381898454746137,0.9364637290669919,0.38841381566277866,8,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.6029213517904282,8,valid
0.9602649006622517,0.9635915601416911,0.9602649006622517,0.9603213260072555,0.32795182281527024,9,train
0.86,0.8725,0.86,0.8506666666666667,0.5736090168356895,9,valid
0.9668874172185431,0.9682537088946274,0.9668874172185431,0.9666683150233503,0.2978012741639696,10,train
0.86,0.8725,0.86,0.8506666666666667,0.5366379842162132,10,valid
0.9735099337748344,0.9747732821345841,0.9735099337748344,0.9733035035592463,0.2723880862367564,11,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.5013957172632217,11,valid
0.9713024282560706,0.9730789446021234,0.9713024282560706,0.9710958093703145,0.2432771946849494,12,train
0.86,0.8725,0.86,0.8506666666666667,0.4925668314099312,12,valid
0.9735099337748344,0.9744475202230899,0.9735099337748344,0.9735319996768473,0.24015253525355768,13,train
0.86,0.8725,0.86,0.8506666666666667,0.46819988638162613,13,valid
0.9823399558498896,0.983029128304528,0.9823399558498896,0.9823309290216112,0.19926815248768906,14,train
0.86,0.8725,0.86,0.8506666666666667,0.4633456915616989,14,valid
0.9911699779249448,0.9912202599950943,0.9911699779249448,0.9911413014851569,0.16862214716344043,15,train
0.86,0.8725,0.86,0.8506666666666667,0.46579569578170776,15,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997790106854182,0.15640251261406932,16,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.44178004562854767,16,valid
0.9933774834437086,0.9934768211920529,0.9933774834437086,0.9933730653063246,0.14056833961914325,17,train
0.86,0.8725,0.86,0.8506666666666667,0.47657763212919235,17,valid
0.9955849889624724,0.9956293609326988,0.9955849889624724,0.9955718796778398,0.1308551119833157,18,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.4157714620232582,18,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997789257356176,0.11726041061097178,19,train
0.84,0.8376428571428572,0.84,0.8304615384615383,0.43537384271621704,19,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997790106854182,0.11108248989129889,20,train
0.86,0.8725,0.86,0.8506666666666667,0.4219811111688614,20,valid
1.0,1.0,1.0,1.0,0.10790367424488068,21,train
0.86,0.8725,0.86,0.8506666666666667,0.39508527517318726,21,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997790106854182,0.09910299359210606,22,train
0.86,0.8725,0.86,0.8506666666666667,0.39317288994789124,22,valid
1.0,1.0,1.0,1.0,0.09422582657686596,23,train
0.86,0.8725,0.86,0.8506666666666667,0.3718455955386162,23,valid
1.0,1.0,1.0,1.0,0.07867511387529044,24,train
0.88,0.887741935483871,0.88,0.8756192959582789,0.37946319207549095,24,valid
1.0,1.0,1.0,1.0,0.07648323591927002,25,train
0.86,0.8725,0.86,0.8506666666666667,0.3604057729244232,25,valid
1.0,1.0,1.0,1.0,0.06994472032990949,26,train
0.88,0.8951515151515151,0.88,0.8698559364133134,0.34429726377129555,26,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997789257356176,0.06479814571553263,27,train
0.86,0.8725,0.86,0.8506666666666667,0.34836267307400703,27,valid
1.0,1.0,1.0,1.0,0.06361029104425989,28,train
0.86,0.8725,0.86,0.8506666666666667,0.34786737337708473,28,valid
1.0,1.0,1.0,1.0,0.05879651870706986,29,train
0.86,0.8725,0.86,0.8506666666666667,0.34323257952928543,29,valid
0.9285714285714286,0.9301802407392469,0.9285714285714286,0.9277267112807184,0.25895910151302814,0,test
