url,prodi,kata_kunci,judul,abstrak
http://jurusan.tik.pnj.ac.id/repositori/dok/15,Teknik Informatika,"Berita, Classification, Long Short Term Memory, Prediction",Rancang Bangun Sistem Klasifikasi Konten Berita Menggunakan Algoritma Long Short-Term Memory (LSTM),"Kementerian Komunikasi dan Informatika (Kominfo) adalah salah satu kemetrian yang bergerak di bidang komunikasi dan informatika. Kominfo memiliki tugas untuk mengawasi konten-konten yang beredar di sosial media maupun berita. Dengan terus bertambahnya jumlah berita yang beredar, pihak media dihadapkan dengan berbagai permasalahan. Salah satunya adalah proses pengolahan berita yang masih dilakukan manual dengan cara membaca isi berita satu persatu. Untuk itu diperlukan sistem yang mampu menangani masalah di atas. Sistem yang dibagun harus mampu memberikan prediksi berita yang relevan. Prediksi tersebut diperoleh dari proses pengumpulan dan data dari berbagai situs berita. Data tersebut kemudian diproses oleh model Long Short Term Memory (LSTM). Long Short Term Memory biasa digunakan untuk menangani kasus prediksi maupun klasifikasi dalam berbagai bidang. Model LSTM tersebut diimplementasikan ke dalam aplikasi web-based untuk menenetukan kelas dari konten berita. Berdasarkan hasil pengujian yang dilakukan, model LSTM yang dibuat memiliki tingkat akurasi sebesar 86%. Dengan demikian implementasi LSTM mampu menjadi suatu solusi dalam mengatasi masalah yang ada."
http://jurusan.tik.pnj.ac.id/repositori/dok/17,Teknik Informatika,"Maturitas, Risk Management, ISO:”31000”, Sistem pengukuran maturitas",RANCANG BANGUN APLIKASI TINGKAT KEMATANGAN RISK MANAGEMENT PT JASA MARGA (PERSERO) TBK BERBASIS WEBSITE,"Risk Management dapat didefinisikan sebagai “metode pendekatan untuk menyelesasikan suatu masalah yaitu ancaman murni (pure threats). Risk ini dikaitkan dengan melakukan pengaturan pada ketidapastian yang berfungsi untuk mendapatkan tujuan yang telah ditetapkan, pengukuran ini biasa dinamakan dengan ‘Risk Management’. Pengukuran maturitas Risk Management sesuai ISO: 31000 terdapat 5 level maturitas yaitu: Initial, Repeatable, Defined, Managed, Intergrated. Untuk menentukan tingkat level maturitas Risk Management yang berbasis website. Berdasarkan hasil penenetuan tingkat level maturitas yang dilakukan oleh konsultan terdapat 96 responden yaitu 14 risk owner dan risk acessor dari divisi Kantor pusat, 22 risk owner dan risk acessor dari anak perusahaan, 1 risk owner dan risk acessor dari kantor regional, 9 risk owner dan risk acessor dari kantor cabang. Berdasarkan hasil pengukuran tingkat maturitas oleh konsultan, didapatkan hasil 3.5 dengan tingkat level yaitu define."
http://jurusan.tik.pnj.ac.id/repositori/dok/19,Teknik Informatika,"Clustering, Data Mining, Emosi, K-Means, Visualisasi Data",Pembuatan Visualisasi Data Emosi dengan Metode Clustering Menggunakan Algoritma K-Means Berbasis Website,"Emosi merupakan aspek yang dapat mempengaruhi pengambilan keputusan seseorang dalam melakukan aktifitas sehari-hari. Menurut Daniel Goleman penulis buku “Emotional Intelligence” bahwa 80% keberhasilan seseorang dipengaruhi oleh kecerdasan emosi (EQ). Oleh karna itu, emosi negatif berpotensi merusak pemikiran serta rencana dalam mewujudkan sebuah impian seseorang. Aplikasi Emo Health membantu peran psikolog dalam melakukan pengenalan dan manajemen emosi pengguna. Namun data emosi pengguna pada aplikasi belum sepenuhnya dapat dilihat secara jelas dan efisien oleh psikolog karna belum adanya grafik informasi seperti tabel atau grafik. Visualisasi data pengguna pada aplikasi sangat diperlukan untuk menentukan tindakan psikolog terhadap relevansi visual yang diberikan. Selain visualisasi data, Teknik data mining diperlukan untuk membaca karakteristik dan mendapatkan pengetahuan baru dari data yang diberikan. Data mining berfokus kepada jumlah data emosi negatif per usia dan status pekerjaan serta emosi negatif seperti sedih, marah dan takut sebagai data yang akan digali pengetahuannya. Dalam pengelompokan data emosi negatif pada aplikasi ini menggunakan metode clustering K-Means untuk mendapatkan pengetahuan berdasarkan kesamaan nilai data. Berdasarkan evaluasi kluster menggunakan DBI (Davies Bouldin Index) maka didapatkan jumlah 6 kluster sudah optimal dengan nilai 0,312. Hasil dari pengelompokan di visualisasikan menggunakan diagram batang, scatterplot dan donut chart."
http://jurusan.tik.pnj.ac.id/repositori/dok/20,Teknik Informatika,"Android, Certainty Factor, Emosi, Sistem Pakar",Pembuatan Sistem Pakar untuk Mengenali Emosi Menggunakan Metode Certainty Factor Berbasis Android,"Emosi merupakan perasaan intens seseorang yang mendorongnya untuk melakukan suatu tindakan yang dapat dipicu dari dalam atau luar dirinya. RIRN (Rencana Induk Riset Nasional) menyatakan bahwa Indonesia saat ini menghadapi berbagai tantangan kuat dibidang kesehatan masyarakat yaitu penyehatan jiwa, seperti kesehatan emosional yang berakibat penyimpangan berlaku. Minimnya keterbatasan ruang dan waktu ketika harus berkonsultasi dengan seorang psikolog menyebabkan kendala bagi setiap orang untuk memahami dan mengenali emosinya yang akan berakibat buruk bagi pengambilan keputusan. Untuk mengatasi masalah ini, dalam penelitian ini dibangun aplikasi sistem pakar untuk mengenali emosi menggunakan metode certainty factor berbasis android. Proses perhitungan menggunakan nilai kepercayaan dan basis pengetahuan yang diberikan oleh seorang pakar. Metode CF memiliki kinerja sistem yang dapat berjalan sesuai dengan persyaratan fungsional dan menghasilkan persentase akurasi yang tinggi. Berdasarkan hasil pengujian, sistem pakar mengenali emosi menggunakan metode certainty factor telah bekerja dengan baik dengan tingkat akurasi sebesar 92,31% dari data uji sebanyak 26 kasus."
http://jurusan.tik.pnj.ac.id/repositori/dok/21,Teknik Informatika,"AHP, jenis tindakan, pelanggaran lalu lintas, sistem pendukung keputusan",Sistem Pendukung Keputusan Penentuan Lokasi untuk Tindakan Represif Menggunakan Metode Analytic Hiearchy Process Dan Visualisasi Peta Di Wilayah Depok,"Jumlah pelanggaran lalu lintas yang terjadi di Wilayah Depok dari tahun 2017 sampai 2019 mengalami fluktuasi, angka pelanggaran lalu lintas berdasarkan jenis kelamin menunjukkan kenaikan tiap tahunnya untuk jenis kelamin wanita sebesar 13% sedangkan jenis kelamin laki-laki mengalami kenaikan pada tahun 2018 sebesar 16% dan mengalami penurunan pada tahun 2019 sebesar 12%. Untuk meningkatkan kesadaran masyarakat dan mentertibkan lalu lintas di suatu daerah, pihak kepolisian memiliki tiga jenis tindakan yaitu, patroli, sosialisasi dan razia. Dalam menentukan antara ketiga jenis tindakan tersebut memerlukan suatu sistem pendukung keputusan agar dimungkinkan akurat dalam aspek prioritas jenis tindakan yang diambil. Metode yang digunakan dalam sistem pendukung keputusan adalah Analytics Hierarchy Process (AHP) dengan tiga kriteria yaitu umur dibawah 17 tahun, umur diatas 17 tahun dan jumlah kecelakaan. Agar mudah dipahami pengguna maka hasil per-rankingan akan ditampilkan dalam bentuk heatmap dengan semakin jelas warna pada suatu titik maka titik tersebut memiliki weight yang besar dan menjadi rekomendasi untuk diadakan razia. Jika semakin pudar maka menjadi rekomendasi diantara sosialisasi dan patroli."
http://jurusan.tik.pnj.ac.id/repositori/dok/28,Teknik Informatika,"Keterampilan, Pelatihan, Perempuan, Text Mining, Web Scraping",Implementasi Teknologi Text Mining dan Web Scraping Untuk Mengumpulkan Informasi Pada Website Pelatihan Keterampilan Khusus Perempuan,"Mencari informasi melalui internet sangatlah mudah, dengan waktu yang relatif singkat bisa mendapatkan berbagai macam informasi yang diinginkan. Banyaknya sumber Informasi yang ada dan beragam akan menyebabkan timbulnya information overload. Information overload adalah kondisi dimana seseorang sulit dalam menerima, memahami, dan mengolah informasi dikarenakan sumber informasi yang berlebih. Information overload salah satunya terjadi pada informasi mengenai pelatihan keterampilan perempuan yang dibutuhkan untuk meningkatkan kualitas diri. Dengan banyaknya laman web yang menyajikan informasi mengenai pelatihan keterampilan, tidaklah mudah untuk perempuan dapat mendapatkan informasi yang diinginkan karena harus mengakses sebanyak mungkin laman web guna mendapatkan informasi yang cocok. Penelitian ini bertujuan untuk membuat sistem pengumpulan informasi mengenai pelatihan keterampilan khusus perempuan dengan mengimplementasikan teknologi text mining dan web scraping dan menggabungkannya ke dalam satu laman informasi sehingga mempermudah kaum perempuan dalam mendapatkan informasi mengenai pelatihan keterampilan. Dari eksperimen yang sudah dilakukan, text mining dan web scraping berhasil diimplementasikan, dengan adanya laman web yang mengintegrasikan informasi dari laman-laman web yang lain, perempuan mendapatkan informasi mengenai pelatihan keterampilan pada satu sumber informasi."
http://jurusan.tik.pnj.ac.id/repositori/dok/29,Teknik Informatika,"Black-box testing, Laravel, Prototype, Seleksi Penerimaan Mahasiswa Baru, Sistem Pendukung Keputusan, Weighted Product (WP)",Sistem Penunjang Keputusan Seleksi Penerimaan Mahasiswa Baru Berdasarkan Nilai Rapor Menggunakan Metode Weighted Product,"Politeknik Negeri Jakarta (PNJ) melakukan seleksi penerimaan mahasiswa baru setiap tahunnya. Seleksi penerimaan ini diharapkan dapat mendapatkan mahasiswa yang berprestasi akademik tinggi dan diprediksi berhasil menyelesaikan studi dengan tepat waktu. Seleksi penerimaan mahasiswa baru dilakukan dengan dua cara yaitu ujian tulis dan menggunakan nilai rapor. Seleksi penerimaan mahasiswa baru dengan menggunakan nilai rapor siswa dari semester satu sampai semester lima. Dalam melakukan proses seleksi penerimaan mahasiswa baru, PNJ masih masih dilakukan secara manual sehingga cenderung memakan waktu yang lama. Maka dari itu, dibuatlah sistem pendukung keputusan untuk membantu menyeleksi mahasiswa baru. Dalam penelitian ini, dilakukan seleksi penerimaan mahasiswa baru menggunakan metode weighted product. Metode pengembangan sistem yang digunakan adalah metode prototype. Sistem dibangun dengan framework Laravel serta PostgreSQL sebagai database. Dilakukan dua pengujian, yaitu pengujian fungsional sistem dan pengujian perbandingan antara hasil perhitungan metode Weighted Product pada sistem dan perhitungan pada excel. Pengujian fungsional sistem menggunakan teknik Black-box testing dengan pendekatan alpha testing."
http://jurusan.tik.pnj.ac.id/repositori/dok/30,Teknik Informatika,"Black-box testing, Laravel, Prototype, Seleksi Penerimaan Mahasiswa Baru, Sistem Pendukung Keputusan, Simple Additive Weighting (SAW)",Sistem Penunjang Keputusan Seleksi Penerimaan Mahasiswa Baru Berdasarkan Nilai Rapor Menggunakan Metode Simple Additive Weighting Method,"Setiap tahunnya Politeknik Negeri Jakarta (PNJ) melakukan seleksi penerimaan mahasiswa baru. Seleksi penerimaan ini diharapkan dapat mendapatkan mahasiswa yang berprestasi akademik tinggi dan diprediksi berhasil menyelesaikan studi dengan tepat waktu. Seleksi penerimaan mahasiswa baru dilakukan dengan dua cara yaitu ujian tulis dan menggunakan nilai rapor. Seleksi penerimaan mahasiswa baru dengan menggunakan nilai rapor siswa dari semester satu sampai semester lima. Dalam melakukan proses seleksi penerimaan mahasiswa baru, PNJ masih melakukannya secara manual sehingga cenderung memakan waktu yang lama. Maka dari itu, dibuatlah sistem pendukung keputusan untuk membantu menyeleksi mahasiswa baru. Dalam penelitian ini, dilakukan seleksi penerimaan mahasiswa baru menggunakan metode Simple Additive Weigthing. Metode pengembangan sistem yang digunakan adalah metode prototype. Sistem dibangun dengan framework Laravel serta PostgreSQL sebagai database. Dilakukan dua pengujian, yaitu pengujian fungsional sistem dan pengujian akurasi hasil perhitungan metode Simple Additive Weighting pada sistem. Pengujian fungsional sistem menggunakan teknik Black-box testing dengan pendekatan alpha testing."
http://jurusan.tik.pnj.ac.id/repositori/dok/35,Teknik Informatika,"Optical Character Recognition (OCR),Tesseract, surat keterangan, kelurahan",Rancang Bangun Aplikasi Pengajuan Surat Keterangan Warga Dengan Optical Character Recognition Berbasis Android Mobile,"Kelurahan Cipinang Cempedak merupakan salah satu unsur pemerintah dan termasuk ke dalam perangkat daerah yang berperan sebagai penyedia layanan untuk masyarakat dilingkungannya. Salah satu jenis pelayanan yang ada pada kelurahan Cipinang Cempedak yaitu pembuatan surat keterangan. Surat keterangan merupakan salah satu jenis surat yang dikelurkan oleh kelurahan dan memiliki keterkaitan dengan surat pengantar RT dan RW sebagai persyaratan untuk pembuatannya. Dalam proses pembuatanya, masyarakat masih harus menempuh serangkaian proses manual yang mengakibatkan efisiensi waktu berkurang. Pada sisi RT/RW juga ditemukan beberapa kekurangan seperti pencatatan dan pendataan pembuatan surat pengantar yang masih dilakukan di buku tulis. Penerapan Aplikasi Pengajuan Surat Keterangan Masyarakat pada rangkaian proses pembuatan surat keterangan di kelurahan, tentu akan meningkatkan efisiensi waktu, biaya dan tenaga. Aplikasi ini dapat melakukan distribusi persetujuan surat secara otomatis di setiap rangkaian prosesnya. Pengajuan buat surat keterangan dan pengumpulan berkas persyaratannya dapat dilakukan secara online oleh masyarakat. Pihak RT, RW dan kelurahan dapat melakukan pemeriksaan dan proses persetujuan permohonan dari masyarakat secara online. Aplikasi ini mengimplementasikan Optical Character Recognition (OCR) berbasiskan Tesseract untuk mempersingkat proses pengisian biodata dan pelampiran berkas-berkas dari masyarakat yang dibutuhkan untuk pembuatan surat keterangan. Fitur ini memiliki tingkat keakuratan sekitar 77 – 98.5%. Semua fitur yang ada pada aplikasi ini dapat meningkatkan kualitas pelayanan kelurahan untuk masyarakatnya khusunya di bidang persuratan."
http://jurusan.tik.pnj.ac.id/repositori/dok/36,Teknik Informatika,"Levenshtein Distance, edit distance, persuratan",SISTEM DETEKSI KESALAHAN EJAAN KATADALAM PENULISAN SURAT MENGGUNAKAN ALGORITMALEVENSHTEIN DISTANCE,"Sebagian besar aktifitas yang dilakukan dalam kelurahan Cipinang Cempedak yaitu melakukan persuratan, baik persuratan internal, eksternal maupun pengurusan surat penghantar Direktorat Jendral Kependudukan dan Pencatatan Sipil (Dukcapil). Kesalahan penulisan dan control pengecekan Bahasa yang baik dan benar dalam pembuatan surat masih dilakukan secara manual, dengan kondisi seperti ini akan menghabiskan banyak waktu. di era teknologi yang kian maju seperti sekarang ini. Kesalahan yang pada umumnya disebabkan kedekatan letak keyboard, slip jari, ataupun karena dua karakter yang letaknya tertukar, sehingga ketika pengguna membuat surat, isi dari surat tersebut tidak sesuai. Penelitian ini bertujuan mendeteksi kesalahan ejaan kata dalam pembuatan surat yang berpacu dengan KBBI (kamus besar Bahasa Indonesia) menggunakan Algoritma Levenshtein Distance. Total kata yang digunakan dalam penelitian ini sebanyak 43337. Ketika terjadi kesalahan kata Algoritma ini langsung mencocokan kata tersebut kedalam query dengan konsep insertion, substitution, dan deletion untuk mendapatkan nilai edit yang sama, nilai edit yang dihasilkan berpengaruh terhadap nilai threshold yang ditentukan. Hasil penelitian menunjukan bahwa semakin kecil nilai threshold yang diberikan menghasilkan rata rata recall sebesar 91.11% dan semakin besar nilai threshold yang diberikan menghasilkan rata rata recall 77.75%."
