url,prodi,kata_kunci,judul,abstrak
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/16,TI,"Flutter, Mobile, Geolocation, Manajemen Aset",Rancang Bangun Aplikasi Manajemen Aset Bergerak dengan Geolocation dan Haversine Berbasis Mobile,"Perusahaan PT. Sucofindo Advisory Utama dalam satu bulan mengeluarkan aset sebanyak tujuh unit mobil dan lima unit ponsel untuk melakukan operasional perusahaan yang berupa survei. Namun aset bergerak tersebut memiliki kendala yaitu pada penyalahgunaan pada peminjaman aset yang mengkibatkan perusahaan mengalami kekurangan jumlah aset akibat keterlambatan pengembalian. Dalam periode bulan Mei hingga Desember 2020 didapatkan presentase angka penyalahgunaan aset sebesar 24%. Permasalahan ini disebabkan karena perusahaan tidak dapat melakukan pelacakan aset bergerak. Dampak kerugian yang timbul dari penyalahgunaan aset tersebut adalah tidak mencukupinya ketersediaan aset bergerak yang akan digunakan untuk operasional perusahaan sehingga perusahaan diharuskan menyewa. Rancang bangun sistem akan dibangun pada dua platform yakni berbasis mobile menggunakan framework flutter dan web menggunakan framework laravel. Aplikasi mobile digunakan sebagai alat pelacak oleh peminjam aset akan aktif secara kontinu untuk pengiriman lokasi dengan geolocation. Formula Haversine digunakan untuk mendeteksi aset sesuai dengan lokasi tempat penugasan, apabila tidak digunakan pada lokasi tempat penugasan maka status peminjaman aset akan diubah menjadi penyalahgunaan aset sedangkan aplikasi web digunakan sebagai pemantauan aset, manajemen data penugasan, manajemen data aset, dan manajemen data lokasi. Sistem ini dapat menentukan status penyalahgunaan aset dan sistem dapat digunakan untuk mengelola aset bergerak dari yang sebelumnya menggunakan Excel serta dapat memberikan informasi laporan peminjaman aset bergerak perusahaan."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/22,TI,"Development, SDLC, Distribusi, Aplikasi, RFID Reader.",Rancang Bangun Sistem Distribusi Gas LPG 3 Kg Menggunakan Radio Frequency Identification (RFID) Pada E-KTP Berbasis Web,"Pengelolaan distribusi gas LPG 3 Kg pada masyarakat miskin tidak merata. Beberapa faktor penyebabnya yaitu harga gas LPG 3 Kg yang murah sehingga distribusi melebihi jatah yang disarankan. Hal tersebut mengakibatkan harga dan jumlah distribusi tidak seimbang terhadap distribusi perwilayah. Tujuan penelitian ini adalah merancang bangun sistem distribusi gas LPG 3 Kg menggunakan Radio Frequency Identification (RFID) pada E-KTP berbasis web untuk memudahkan dalam melakukan transaksi gas LPG 3 Kg dan mencegah terjadinya penimbunan gas LPG 3 Kg. Menggunakan metode penelitian studi kuantitatif yaitu studi experimental yang bertujuan untuk mengumpulkan informasi seputar permasalahan, penelitian ini juga menggunakan metode System Developer Life Cycle (SDLC) model Waterfall, yaitu metode yang menggunakan teknik analisis, desain, pengodean, pengujian, dan pendukung. Hasil penelitian ini adalah suatu aplikasi untuk memanajemen penjualan gas LPG 3 Kg bersubsidi agar tidak terjadinya penimbunan di suatu pangkalan yang menyebabkan ketidak seimbangan terhadap distribusi."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/34,TI,"Olimpiade Sains Nasional, Sistem Pendukung Keputusan, Weighted Agregated Sum Product Assessment, Weighted Product",ANALISIS PERBANDINGAN SISTEM PENDUKUNG KEPUTUSAN MENGGUNAKAN METODE WASPAS DAN WP DALAM SELEKSI PESERTA OLIMPIADE SAINS DI SMPN 174 JAKARTA,"Olimpiade Sains Nasional (OSN) merupakan ajang kompetisi di bidang sains tahunan yang dilaksanakan oleh pemerintah dalam bidang pendidikan bagi para siswa dalam berbagai jenjang seperti sekolah menengah pertama. SMPN 174 Jakarta merupakan salah satu sekolah yang ikut serta bahkan pernah menjuarai olimpiade sains. Untuk dapat mengikuti olimpiade, setiap sekolah hanya dapat mengirimkan perwakilan, sehingga dibutuhkan penyeleksian terhadap siswa. Pada seleksi manual, ditemukan banyak kendala yang dihadapi karena banyaknya calon peserta dan juga adanya pemilihan yang bersifat subjektif. Oleh karena itu, dibutuhkan sistem pendukung keputusan untuk mengatasi permasalahan tersebut. Dalam membuat sistem ini, digunakan dua metode yaitu Weighted Agregated Sum Product Assessment (WASPAS) dan Weighted Product (WP). Kedua metode ini dibandingkan untuk mendapatkan metode yang lebih cocok untuk diterapkan di kasus seleksi peserta OSN. Kriteria yang digunakan yaitu nilai ipa, nilai m3atematika, nilai rata-rata rapor, presensi, dan nilai uji test olimpiade. Sistem melakukan penilaian dan hasil perankingan di setiap metode. Perbandingan kedua metode ini menghasilkan bahwa metode WASPAS memiliki jarak perbandingan nilai yang lebih jauh di setiap rankingnya dibandingkan metode WP, sehingga diperoleh metode yang lebih cocok yaitu metode WASPAS."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/35,TI,"Sistem Pendukung Keptutusan, SPK, Pemilihan Sepatu, Metode MOORA, Multi Objective Optimization On The Basis Of Ratio Analysis",RANCANG BANGUN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN SEPATU DENGAN MENGGUNAKAN METODE MOORA (STUDI KASUS: CHOICEFASHION),"Sepatu yang menjadi kebutuhan manusia sebagai alas kaki telah berkembang kegunaannya searah berkembangnya zaman, salah satunya menjadi tren fashion yang membuat jenis sepatu semakin bertambah. Bisnis dalam bidang penjualan sepatu salah satunya ditekuni oleh online shop Choicefashion sejak tahun 2018. Terdapat sekitar 250 produk sepatu dengan berbagai merk dan jenis sepatu ditawarkan online shop Choicefashion, menyebabkan customer sulit menentukan sepatu berdasarkan kriteria yang mereka inginkan Untuk memberikan rekomendasi sepatu sesuai dengan kriteria dari customer maka dibutuhkan sistem pendukung keputusan.Penelitian ini membahas tentang sistem pendukung keputusan pemilihan sepatu dengan metode MOORA. MOORA dapat mendukung keputusan dari banyak kriteria dan mudah dipahami dalam memisahkan subjektif suatu proses evaluasi ke dalam kriteria bobot keputusan dengan atribut pengambilan keputusan. Kriteria sepatu ditentukan oleh customer melalui kuesioner. Melalui penelitian ini, customer dapat menentukan sepatu sesuai dengan kriteria yang diinginkan. Sistem yang dibuat berbasis website yang nanti akan menampilkan hasil rekomendasi pemilihan sepatu."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/38,TI,"Algoritma Simple Additive Weighting, seleksi guru privat, Sistem Pendukung Keputusan, website",SISTEM PENDUKUNG KEPUTUSAN SELEKSI GURU PRIVAT BEBASIS WEB MENGGUNAKAN ALGORITMA SIMPLE ADDITIVE WEIGHTING,"Seleksi guru privat pada Lembaga Bimbingan Belajar AlQur'an Neuro Nadi menjadi permasalah yang sulit, karena proses seleksi guru privat dan pendataan guru privat masih menggunakan cara manual. Penelitian ini dilakukan untuk perancangan dan pembangunan aplikasi Sistem Pendukung Keputusan seleksi guru privat berbasis web dengan algoritma Simple Additive Weighting untuk admin dalam mengelola kriteria, mengelola jadwal guru, melakukan seleksi guru privat dengan algoritma Simple Additive Weighting, dan melakukan pendataan guru privat. Membantu orang tua peserta didik melakukan seleksi guru privat yang sesuai dengan kriteria yang diinginkan, melakukan pendaftaran dan penjadwalaan. Melakukan pendataan guru privat secara online. Kriteria yang ditetapkan pada aplikasi ini berjumlah tujuh yaitu: kesesuaian lokasi guru privat, harga untuk guru privat dalam sejam pertemuan, pengalaman mengajar dari guru privat, menguasai serta mahir dalam metode yang digunakan, sabar, rentang usia, dan jenis kelamin yang akan dimasukaan dalam kriteria utama, kriteria pilihan, dan kriteria tambahan. Dari hasil seleksi guru privat maka akan diurutkan berdasarkan total perhitungan nilai tertinggi. Sistem akan memberikan rangking kepada guru privat berdasarkan nilai yang didapat dan diurutkan berdasarkan total perhitungan nilai tertinggi. Seleksi guru privat pada Lembaga Bimbingan Belajar AlQur'an Neuro Nadi menjadi permasalah yang sulit, karena proses seleksi guru privat dan pendataan guru privat masih menggunakan cara manual. Penelitian ini dilakukan untuk perancangan dan pembangunan aplikasi Sistem Pendukung Keputusan seleksi guru privat berbasis web dengan algoritma Simple Additive Weighting untuk admin dalam mengelola kriteria, mengelola jadwal guru, melakukan seleksi guru privat dengan algoritma Simple Additive Weighting, dan melakukan pendataan guru privat. Membantu orang tua peserta didik melakukan seleksi guru privat yang sesuai dengan kriteria yang diinginkan, melakukan pendaftaran dan penjadwalaan. Melakukan pendataan guru privat secara online. Kriteria yang ditetapkan pada aplikasi ini berjumlah tujuh yaitu: kesesuaian lokasi guru privat, harga untuk guru privat dalam sejam pertemuan, pengalaman mengajar dari guru privat, menguasai serta mahir dalam metode yang digunakan, sabar, rentang usia, dan jenis kelamin yang akan dimasukaan dalam kriteria utama, kriteria pilihan, dan kriteria tambahan. Dari hasil seleksi guru privat maka akan diurutkan berdasarkan total perhitungan nilai tertinggi. Sistem akan memberikan rangking kepada guru privat berdasarkan nilai yang didapat dan diurutkan berdasarkan total perhitungan nilai tertinggi."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/39,TI,"Algoritma Simple Additive Weighting, seleksi guru privat, Sistem Pendukung Keputusan, website",SISTEM PENDUKUNG KEPUTUSAN SELEKSI GURU PRIVAT BEBASIS WEB MENGGUNAKAN ALGORITMA SIMPLE ADDITIVE WEIGHTING,"Seleksi guru privat pada Lembaga Bimbingan Belajar AlQur'an Neuro Nadi menjadi permasalah yang sulit, karena proses seleksi guru privat dan pendataan guru privat masih menggunakan cara manual. Penelitian ini dilakukan untuk perancangan dan pembangunan aplikasi Sistem Pendukung Keputusan seleksi guru privat berbasis web dengan algoritma Simple Additive Weighting untuk admin dalam mengelola kriteria, mengelola jadwal guru, melakukan seleksi guru privat dengan algoritma Simple Additive Weighting, dan melakukan pendataan guru privat. Membantu orang tua peserta didik melakukan seleksi guru privat yang sesuai dengan kriteria yang diinginkan, melakukan pendaftaran dan penjadwalaan. Melakukan pendataan guru privat secara online. Kriteria yang ditetapkan pada aplikasi ini berjumlah tujuh yaitu: kesesuaian lokasi guru privat, harga untuk guru privat dalam sejam pertemuan, pengalaman mengajar dari guru privat, menguasai serta mahir dalam metode yang digunakan, sabar, rentang usia, dan jenis kelamin yang akan dimasukaan dalam kriteria utama, kriteria pilihan, dan kriteria tambahan. Dari hasil seleksi guru privat maka akan diurutkan berdasarkan total perhitungan nilai tertinggi. Sistem akan memberikan rangking kepada guru privat berdasarkan nilai yang didapat dan diurutkan berdasarkan total perhitungan nilai tertinggi."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/40,TI,"Pet Shop, E-Commerce, Web Framework, Laravel, Waterfall, Web Sematik.",RANCANG BANGUN APLIKASI WEBSITE PET SHOP BERBASIS WEB SEMANTIK,"Pet shop menurut para ahli adalah suatu tempat penjualan binatang dan segala keperluannya. Menurut survey di salah satu kota di Indonesia menjelaskan bahwa bisnis Pet Shop adalah bisnis yang sangat menjanjikan untuk masa kini dan juga bisnis Pet Shop adalah salah satu bisnis yang mengalami peningkatan dimasa pendemi ini. Keuntungan yang di peroleh bisa mencapai 3 kali lipat dari penghasilan biasanya. PetLuvies Pet Shop merupakan usaha yang baru berdiri ini merupakan usaha yang bergerak dibidang hobi pecinta hewan khususnya kucing dan anjing. Dalam bisnisnya Pet Shop menjual berbagai kebutuhan hewan peliharaan mulai dari makanan kucing, perawatan, dan juga perlengkapan aksesoris hewan termasuk obat-obatan dan juga Pelayanan kesehataan Metode dalam penelitian ini adalah Web Semantik. Metode ini membantu pembeli mencari keperluan yang diinginkan dengan mudah. Perancangan sistem menggunakan Unified Modelling Language, Bahasa pemrograman PHP dan database MySQL. Penelitian ini menghasilkan aplikasi Pet Shop website yang dapat memudahkan penjual dan pembeli untuk bertemu di dalam satu platform."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/46,TI,"React Native, Node js, Rancang Bangun, Hidroponik, Keeponic, Aplikasi Mobile, Android, IOS",RANCANG BANGUN SISTEM INFORMASI KEEPONIC (MARKETPLACE PERALATAN HIDROPONIK) BERBASIS MOBILE,"Pertanian hidroponik merupakan salah satu teknik dalam budidaya pertanian dengan memanfaatkan air sebagai media tanam dengan menekankan kebutuhan hara nutrisi bagi tanaman. Pertanian hidroponik semakin diminati oleh masyarakat biasa maupun petani di Indonesia karena pemeliharaan yang mudah dan dapat diterapkan pada lahan yang sempit. Berdasarkan data yang dirilis oleh Asosiasi Penyelenggara Jasa Internet Indonesia (APJII) tahun 2018 mengemukakan bahwa, 33,5% petani lahan sendiri memiliki kemampuan dalam menggunakan internet. Terbatasnya segmentasi pasar dari hidroponik membuat para pelaku usaha hidroponik sulit untuk memulai atau mengembangkan usahanya. Marketplace yang ada di Indonesia belum mengakomodasi pelaku usaha dalam memasarkan produk hidroponik secara khusus. Dalam penelitian ini difokuskan pada pembangunan sistem informasi keeponic berbasis mobile untuk para pelaku budi daya hidroponik dalam membudidayakan hidroponik, melihat artikel, membeli produk, dan mendaftar sebagai penjual jika memungkinakan. Sistem informasi penjualan produk hidroponik berbasis mobile ini dibangun menggunakan framework React Native dan Node JS. Untuk membuktikan sistem dapat diterima pengguna akhir, maka dilakukan penilaian kebergunaan sistem dengan Pengujian Beta yang menggunakan metode pengujian UAT. Didapat bahwa sistem mendapat kategori 'Sangat Baik' setelah skor rata-rata UAT dikonversikan dengan kriteria presentase skor, dengan ini sistem informasi marketplace keeponic berbasis mobile dapat berhasil memenuhi standar kebergunaan oleh pengguna."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/47,TI,"Hidroponik, Sistem Informasi, Framework React JS, Node JS",RANCANG BANGUN SISTEM INFORMASI SELLER DAN ADMIN UNTUK APLIKASI KEEPONIC (MARKETPLACE PERALATAN HIDROPONIK) BERBASIS WEB,"Pertanian hidroponik merupakan salah satu teknik urban farming dengan memanfaatkan air sebagai media tanam dengan menekankan kebutuhan hara nutrisi tanaman. Pertanian hidroponik semakin diminati oleh masyarakat biasa maupun petani di Indonesia karena pemeliharaan yang mudah dan dapat diterapkan pada lahan yang sempit. Berdasarkan data yang dirilis oleh Asosiasi Penyelenggara Jasa Internet Indonesia (APJII) pada hasil penetrasi pengguna internet 2019-2020 (Q2) mengemukakan bahwa, total pengguna internet Indonesia saat ini mencapai 196,71 dari 266,91 juta jiwa. Berdasarkan hasil survei Markplus dalam Government Roundtable terkait sektor pertanian, 98.2% masyarakat setuju urban farming memiliki prospek dalam meningkatkan pendapatan ekonomi sehingga dapat dijadikan peluang baru bagi masyarakat yang ingin berbisnis. Dalam penelitian ini difokuskan pada pembangunan sistem informasi marketplace berbasis web untuk pelaku usaha hidroponik dalam menjual produk, menerima pesanan, melihat statistik penjualan, dan membuat artikel terkait hidroponik yang terintegrasi dengan aplikasi mobile bernama ‘Keeponic’. Sistem informasi penjualan produk hidroponik ini dibangun menggunakan framework React JS dan Node JS. Untuk membuktikan sistem dapat diterima pengguna akhir, maka dilakukan penilaian kebergunaan sistem dengan System Usability Scale (SUS). Didapat bahwa sistem mendapat kategori ‘Good’ setelah skor rata-rata SUS dikonversikan dengan Adjective Rating Scale, berarti sistem informasi marketplace keeponic seller berbasis website berhasil memenuhi standar kebergunaan oleh pengguna."
http://jurusan.tik.pnj.ac.id/newrepositori/v2/dok/48,TI,"Klien, Advokat, Algoritma Knuth-Morris-Pratt (KMP), VueJS, NodeJS",Rancang Bangun Sistem Informasi Firma Hukum Gugum Ridho and Partners Modul Klien dan Advokat Berbasis Web,"Konsultasi hukum merupakan cara agar masyarakat tahu ketika menghadapi suatu permasalahan hukum. Pada Pasal 1 Undang-undang Nomor 16 Tahun 2011 tentang Bantuan Hukum, bantuan hukum merupakan sebuah jasa hukum yang diberikan oleh pemberi bantuan hukum secara cuma-cuma kepada penerima bantuan hukum yang menghadapi masalah hukum. Konsultasi hukum biasanya disediakan oleh lembagalembaga bantuan hukum atau organisasi kemasyarakatan. Firma Hukum Gugum Ridho and Partners adalah salah satu lembaga bantuan hukum yang berlokasi di Jakarta Selatan. Saat ini, proses bisnis di Firma Hukum Gugum Ridho and Partners masih dilakukan secara manual yaitu proses pendaftaran klien, penjadwalan konsultasi, informasi penjadwalan konsultasi dan pencarian advokat. Maka dari itu, dibuatlah sistem informasi firma hukum gugum ridho and partners modul klien dan advokat. Sistem ini dibuat untuk membantu klien melakukan pendaftaran konsultasi, penjadwalan konsultasi, informasi penjadwalan dan pencarian advokat. Selain itu, sistem ini dibuat untuk membantu advokat mengelola jadwal personal dan mencatat history kasus yang sudah pernah ditangani. Sistem dibangun berbasis web menggunakan framework Vue JS untuk frontend dan NodeJS untuk backend serta basis data MySQL. Fitur pencarian advokat dilakukan dengan metode string matching menggunakan algoritma Knuth-Morris-Pratt (KMP). Metode pengembangan sistem yang digunakan adalah metode prototyping."
